시설명,카테고리1,카테고리2,카테고리3,시도 명칭,시군구 명칭,법정읍면동명칭,리 명칭,번지,도로명 이름,건물 번호,위도,경도,우편번호,도로명주소,지번주소,전화번호,홈페이지,휴무일,운영시간,주차 가능여부,입장(이용료)가격 정보,반려동물 동반 가능정보,반려동물 전용 정보,입장 가능 동물 크기,반려동물 제한사항,장소(실내) 여부,장소(실외)여부,기본 정보_장소설명,애견 동반 추가 요금,최종작성일,image_url,nmap_url
가우도,반려동물업,반려동반여행,여행지,전라남도,강진군,,신기리,,,,34.52719533,126.764915,59251,,전라남도 강진군 도암면 신기리,061-432-2254,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,목줄,N,Y,관광지,없음,2022.11.30,https://ldb-phinf.pstatic.net/20200225_253/1582629725480dFEWU_JPEG/R7Xpz81bP1-HrchhOUpT03Ci.jpg,https://map.naver.com/p/entry/place/1712989974
가원별장 펜션,반려동물업,반려동반여행,펜션,경기도,양평군,단월면,명성리,613-3 번지,명성길,176-1 번,37.62218608,127.631772,12526,경기도 양평군 단월면 명성길 176-1,경기도 양평군 단월면 명성리 613-3,0507-1317-2027,http://gawonps.co.kr/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,7kg 이하,제한사항 없음,Y,Y,"애견 동반 펜션, 사전문의 필수","20,000원",2022.11.30,https://ldb-phinf.pstatic.net/20240926_205/1727339359875P4Stg_JPEG/018.jpg,https://map.naver.com/p/entry/place/21037535
가일미술관,반려동물업,반려동반여행,미술관,경기도,가평군,청평면,삼회리,609-6 번지,북한강로,1549 번,37.66041649,127.379434,12458,경기도 가평군 청평면 북한강로 1549,경기도 가평군 청평면 삼회리 609-6,031-584-4700,www.gailart.org,"설, 추석 연휴, 매주 월요일",화~일 10:00~17:00,Y,3000원,N,해당없음,해당없음,해당없음,Y,Y,미술관,없음,2022.11.30,http://blogfiles.naver.net/20160719_72/alfyoun_1468934208454l40BS_PNG/IMG_4901.png#900x900,https://map.naver.com/p/entry/place/10983806
가자펜션,반려동물업,반려동반여행,펜션,경상남도,거제시,남부면,다포리,38-15 번지,거제남서로,324-4 번,34.71600425,128.626327,53334,경상남도 거제시 남부면 거제남서로 324-4,경상남도 거제시 남부면 다포리 38-15,,https://gajaps.modoo.at/,연중무휴,매일 15:00~11:00,Y,변동,N,해당없음,해당없음,해당없음,Y,Y,펜션,없음,2022.11.30,https://ldb-phinf.pstatic.net/20170711_290/1499780706488Ah2Ue_JPEG/186661627523627_0.jpeg,https://map.naver.com/p/entry/place/31454153
가천박물관,반려동물업,반려동반여행,박물관,인천광역시,연수구,옥련동,,567-22 번지,청량로102번길,40-9 번,37.41847997,126.657603,21942,인천광역시 연수구 청량로102번길 40-9,인천광역시 연수구 옥련동 567-22,032-833-4747,www.gcmuseum.org,"1월1일, 설, 추석 연휴, 매주 월요일",화~일 09:00~17:00,Y,없음,Y,해당없음,모두 가능,야외만 반려동물 동반 가능,Y,Y,박물관,없음,2022.11.30,https://ldb-phinf.pstatic.net/20150901_188/1441038940399JMBis_JPEG/11784831_0.jpg,https://map.naver.com/p/entry/place/11784831
가톨릭관동대학교박물관,반려동물업,반려동반여행,박물관,강원도,강릉시,내곡동,,522 번지,범일로579번길,24 번,37.73732878,128.873705,25601,강원도 강릉시 범일로579번길 24,강원도 강릉시 내곡동 522,033-649-7851,http://museum.cku.ac.kr/,"매주 토, 일, 법정공휴일",월~금 09:00~17:00,Y,없음,N,해당없음,해당없음,해당없음,Y,N,박물관,없음,2022.11.30,https://ldb-phinf.pstatic.net/20180226_103/1519626104771l2wLo_JPEG/2ZHjO6APBZicSHMyPepMQXy3.jpg,https://map.naver.com/p/entry/place/11620701
가평문화예술회관,반려동물업,반려동반여행,문예회관,경기도,가평군,가평읍,대곡리,316 번지,문화로,131 번,37.82543108,127.506125,12416,경기도 가평군 가평읍 문화로 131,경기도 가평군 가평읍 대곡리 316,031-8078-8077,www.gpfmc.or.kr/sub2/sub2_1-1.php,연중무휴,매일 08:00~22:00,Y,변동,N,해당없음,해당없음,해당없음,Y,N,문예회관,없음,2022.11.30,https://ldb-phinf.pstatic.net/20150901_280/1441039723751dQm78_JPEG/116662607964941_0.jpg,https://map.naver.com/p/entry/place/11797330
가평힐링타임펜션,반려동물업,반려동반여행,펜션,경기도,가평군,상면,행현리,375-1 번지,수목원로,181-26 번,37.76246255,127.364275,12448,경기도 가평군 상면 수목원로 181-26,경기도 가평군 상면 행현리 375-1,,http://www.healingtimeps.com/,연중무휴,매일 15:00~11:00,Y,변동,Y,해당없음,소형/중형,애견용품 개별준비,Y,Y,"애견 동반 펜션, 대형견 사전문의","10,000원",2022.11.30,,https://map.naver.com/p/entry/place/38460106
가학산근린공원,반려동물업,반려동반여행,여행지,경기도,광명시,가학동,,7 번지,가학로85번길,134-23 번,37.42592096,126.865928,14341,경기도 광명시 가학로85번길 134-23,경기도 광명시 가학동 산 7,02-2680-6952,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,소형,"목줄, 배변봉투",N,Y,공원,없음,2022.11.30,,https://map.naver.com/p/entry/place/34069644
가화쌈지숲공원,반려동물업,반려동반여행,여행지,충청북도,옥천군,옥천읍,금구리,223 번지,,,36.30557822,127.560966,29034,,충청북도 옥천군 옥천읍 금구리 223,043-730-3484,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,공원,없음,2022.11.30,,https://map.naver.com/p/entry/place/81032773
가회민화박물관,반려동물업,반려동반여행,박물관,서울특별시,종로구,가회동,,28 번지,북촌로,52 번,37.58150935,126.985229,3056,서울특별시 종로구 북촌로 52,서울특별시 종로구 가회동 28,02-741-0466,www.gahoemuseum.org,매주 월요일,화~일 10:00~18:000,Y,5000원,N,해당없음,해당없음,해당없음,Y,N,박물관,없음,2022.11.30,https://ldb-phinf.pstatic.net/20220402_32/1648858600507NB5lH_JPEG/image.jpg,https://map.naver.com/p/entry/place/11620400
각리근린공원,반려동물업,반려동반여행,여행지,충청북도,청주시 청원구,오창읍,각리,639-3 번지,,,36.70914239,127.432127,28125,,충청북도 청주시 청원구 오창읍 각리 639-3,043-201-4414,정보없음,연중무휴,매일 00:00~24:00,N,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,공원,없음,2022.11.30,,https://map.naver.com/p/entry/place/17806269
각화제,반려동물업,반려동반여행,여행지,광주광역시,북구,각화동,,,,,35.18452351,126.939782,61165,,광주광역시 북구 각화동,,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,목줄,N,Y,관광지,없음,2022.11.30,,https://map.naver.com/p/entry/place/16308662
간송박물관,반려동물업,반려동반여행,박물관,서울특별시,성북구,성북동,,81-2 번지,성북로,102-11 번,37.59446244,126.996239,2837,서울특별시 성북구 성북로 102-11,서울특별시 성북구 성북동 81-2,02-762-0442,http://kansong.org/,"매주 토, 일",월~금 10:00~18:00,Y,없음,N,해당없음,해당없음,해당없음,Y,N,박물관,없음,2022.11.30,https://ldb-phinf.pstatic.net/20220317_95/1647493710510DQ7Jy_JPEG/%BA%B8%C8%AD%B0%A2.jpg,https://map.naver.com/p/entry/place/11569734
간절곶,반려동물업,반려동반여행,여행지,울산광역시,울주군,서생면,대송리,28-1 번지,간절곶1길,39-2 번,35.35897306,129.360296,45015,울산광역시 울주군 서생면 간절곶1길 39-2,울산광역시 울주군 서생면 대송리 28-1,052-239-6313,https://www.lighthouse-museum.or.kr/,매주 월요일,"화~일 하절기 09:00~18:00, 동절기 09:00~17:00",Y,없음,Y,해당없음,모두 가능,목줄,N,Y,관광지,없음,2022.11.30,https://ldb-phinf.pstatic.net/20150901_169/1441045677635VpsLn_JPEG/13491761_0.jpg,https://map.naver.com/p/entry/place/13491761
갈마봉근린공원,반려동물업,반려동반여행,여행지,대전광역시,유성구,지족동,,837 번지,지족로328번길,123 번,36.38402393,127.317422,34076,대전광역시 유성구 지족로328번길 123,대전광역시 유성구 지족동 837,042-611-2344,정보없음,연중무휴,매일 00:00~24:00,N,없음,Y,해당없음,모두 가능,목줄,N,Y,공원,없음,2022.11.30,,https://map.naver.com/p/entry/place/32812368
갈매구릉산자락길,반려동물업,반려동반여행,여행지,경기도,구리시,갈매동,,392-20 번지,,,37.62707172,127.121305,11902,,경기도 구리시 갈매동 392-20,031-550-2047,https://www.guri.go.kr/culture/selectTourCntntsWebView.do?tourNo=161&key=1188&ctgry=5,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022.11.30,https://ldb-phinf.pstatic.net/20200414_231/1586839022050QBAqJ_JPEG/lFL36hkQq8qVlbZoRcpXETlc.jpg,https://map.naver.com/p/entry/place/1310892145
감귤박물관,반려동물업,반려동반여행,박물관,제주특별자치도,서귀포시,신효동,,1200-6 번지,효돈순환로,441 번,33.27159304,126.607428,63605,제주특별자치도 서귀포시 효돈순환로 441,제주특별자치도 서귀포시 신효동 1200-6,064-760-6400,https://culture.seogwipo.go.kr/citrus/index.htm,"1월1일, 설, 추석 당일","매일 09:00~18:00, 7~9월 09:00~19:00",Y,1500원,Y,해당없음,모두 가능,야외만 반려동물 동반 가능,Y,Y,박물관,없음,2022.11.30,https://ldb-phinf.pstatic.net/20171215_281/1513304176404ulDBG_JPEG/EL3A0630.jpg,https://map.naver.com/p/entry/place/11621632
감나무실공원,반려동물업,반려동반여행,여행지,충청북도,청주시 흥덕구,가경동,,1692 번지,2순환로1329번길,10 번,36.61860037,127.436758,28411,충청북도 청주시 흥덕구 2순환로1329번길 10,충청북도 청주시 흥덕구 가경동 1692,043-200-2815,정보없음,연중무휴,매일 00:00~24:00,N,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,공원,없음,2022.11.30,https://ldb-phinf.pstatic.net/20150901_236/14410389705835YcH5_JPEG/116580558133857_0.jpg,https://map.naver.com/p/entry/place/13451851
감악산 출렁다리,반려동물업,반려동반여행,여행지,경기도,파주시,적성면,설마리,산 21-1 번지,설마천로,238 번,37.93841476,126.947316,10805,경기도 파주시 적성면 설마천로 238,경기도 파주시 적성면 설마리 산 21-1,031-950-1938,https://tour.paju.go.kr/user/tour/place/BD_tourPlaceInfoView.do?menuCode=4&areaSe=&cntntsSn=2061,연중무휴,매일 09:00~18:00,Y,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022.11.30,https://ldb-phinf.pstatic.net/20180108_184/1515389250611JUPJA_JPEG/hx1YY1rtXYbgruscV4jXQ6Xw.jpg,https://map.naver.com/p/entry/place/95382352
감우재전승기념관,반려동물업,반려동반여행,박물관,충청북도,음성군,음성읍,소여리,897 번지,생음대로,594 번,36.95068328,127.647013,27685,충청북도 음성군 음성읍 생음대로 594,충청북도 음성군 음성읍 소여리 897,043-871-5930,https://www.eumseong.go.kr/tour/selectTourCntntsWebView.do?key=7031&tourNo=24&ctgry=8,"1월1일, 설, 추석 연휴, 매주 월요일",화~일 09:00~18:00,Y,없음,N,해당없음,해당없음,해당없음,Y,N,박물관,없음,2022.11.30,http://blogfiles.naver.net/MjAxODA2MTdfMjc1/MDAxNTI5MjI0OTI0OTQ0.yhPtTd-ql_0WoseGs-2fcvQWLCnDj_--7P_LgiQFVPAg.O7XIwYs_8KA_eFxFB6mGBlQMXhICsUZl78QCALzlOhcg.JPEG.eumseonggun/SAM_8151.JPG#3000x2000,https://map.naver.com/p/entry/place/20027347
감자밭,반려동물업,반려동물식당카페,카페,강원도,춘천시,신북읍,천전리,99-13 번지,신샘밭로,674 번,37.92958863,127.784517,24204,강원도 춘천시 신북읍 신샘밭로 674,강원도 춘천시 신북읍 천전리 99-13,1566-3756,https://www.instagram.com/gamzabatt/,연중무휴,매일 10:00~21:00,Y,변동,Y,해당없음,소형/중형,"목줄 필수, 대형견 입장 불가, 1층 및 야외 테라스 가능",Y,Y,애견카페,없음,2022.11.30,https://ldb-phinf.pstatic.net/20190719_37/1563524078828qIkz3_JPEG/DHngFYRQwF4ELG3mbCBOGT5L.jpg,https://map.naver.com/p/entry/place/1823037411
감천문화마을,반려동물업,반려동반여행,여행지,부산광역시,사하구,감천동,,10-2 번지,옥천로,130 번,35.09686103,129.01109,49368,부산광역시 사하구 옥천로 130,부산광역시 사하구 감천동 10-2,051-204-1444,https://m.gamcheon.or.kr/?doc=sub_01_02,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,목줄,N,Y,관광지,없음,2022.11.30,https://ldb-phinf.pstatic.net/20150901_296/1441106775581HW1Yv_JPEG/137160528543605_0.jpeg,https://map.naver.com/p/entry/place/21884707
갑천근린공원,반려동물업,반려동반여행,여행지,대전광역시,유성구,봉명동,,702 번지,,,36.35459963,127.350864,34175,,대전광역시 유성구 봉명동 702,,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,목줄,N,Y,공원,없음,2022.11.30,,https://map.naver.com/p/entry/place/1374922844
갓바위미술관,반려동물업,반려동반여행,미술관,전라남도,목포시,명륜동,,18 번지,노적봉길,4-1 번,34.79022712,126.385005,58728,전라남도 목포시 노적봉길 4-1,전라남도 목포시 명륜동 18,061-279-5763,정보없음,매주 월요일,화~일 10:00~18:00,N,없음,N,해당없음,해당없음,해당없음,Y,N,미술관,없음,2022.11.30,,https://map.naver.com/p/entry/place/38418648
강경젓갈전시관,반려동물업,반려동반여행,여행지,충청남도,논산시,강경읍,황산리,198 번지,금백로,45 번,36.15755625,127.009806,32930,충청남도 논산시 강경읍 금백로 45,충청남도 논산시 강경읍 황산리 198,041-730-4648,정보없음,매주 일요일,월~토 10:00~17:00,Y,없음,Y,해당없음,모두 가능,목줄,N,Y,관광지,없음,2022.11.30,,https://map.naver.com/p/entry/place/1949513015
강남구민회관,반려동물업,반려동반여행,문예회관,서울특별시,강남구,대치동,,509-2 번지,삼성로,154 번,37.49388799,127.064272,6288,서울특별시 강남구 삼성로 154,서울특별시 강남구 대치동 509-2,02-2176-0891,https://life.gangnam.go.kr/fmcs/103,"일요일, 법정공휴일 휴관","월~금 08:00~21:30, 토 09:00~19:30",Y,없음,N,해당없음,해당없음,해당없음,Y,N,문예회관,없음,2022.11.30,http://blogfiles.naver.net/20160316_289/bbaebbaero_1458123776967pj0PC_JPEG/005.JPG#480x640,https://map.naver.com/p/entry/place/11623422
강동문화복지회관,반려동물업,반려동반여행,문예회관,경상북도,구미시,구평동,,241-3 번지,인동가산로,392 번,36.09011528,128.454654,39444,경상북도 구미시 인동가산로 392,경상북도 구미시 구평동 241-3,054-480-2990,https://www.gumi.go.kr/artsgd/main.do,"매주 토, 일",월~금 09:00~18:00,Y,변동,N,해당없음,해당없음,해당없음,Y,N,문예회관,없음,2022.11.30,,https://map.naver.com/p/entry/place/1743891928
강동아트센터,반려동물업,반려동반여행,문예회관,서울특별시,강동구,상일동,,477 번지,동남로,870 번,37.55122046,127.157343,5278,서울특별시 강동구 동남로 870,서울특별시 강동구 상일동 477,02-440-0500,www.gangdongarts.or.kr,연중무휴,매일 09:00~18:00,Y,변동,N,해당없음,해당없음,해당없음,Y,Y,문예회관,없음,2022.11.30,https://ldb-phinf.pstatic.net/20230712_253/1689138767905qLfqN_JPEG/%B0%AD%B5%BF%BE%C6%C6%AE%BC%BE%C5%CD_%BF%DC%B0%FC1-%BC%F6%C1%A4.jpg,https://map.naver.com/p/entry/place/19452036
강릉굴산사지당간지주,반려동물업,반려동반여행,여행지,강원도,강릉시,구정면,학산리,1181 번지,,,37.70727935,128.891822,25623,,강원도 강릉시 구정면 학산리 1181,033-640-5581,정보없음,연중무휴,매일 00:00~24:00,N,없음,Y,해당없음,모두 가능,"목줄, 배변봉투",N,Y,관광지,없음,2022.11.30,http://blogfiles.naver.net/MjAxNzA2MDhfNzgg/MDAxNDk2ODgzMjgzODMx.n8PFHvXmBCH77BROP8Zva3Pm9n80Rs9IqkKIIHw1bFAg.7RWA9FlnlzxaZ1UUdfMFbmP0tUFf-xq1Pr90u9fuEKwg.JPEG.daichung/20170518_095819_HDR.jpg#2340x4160,https://map.naver.com/p/entry/place/15700923
강릉단오제전수교육관,반려동물업,반려동반여행,문예회관,강원도,강릉시,노암동,,722-2 번지,단오장길,1 번,37.74820182,128.895041,25586,강원도 강릉시 단오장길 1,강원도 강릉시 노암동 722-2,033-660-3940,www.gn.go.kr/dano/,법정공휴일,매일 09:00~18:00,Y,변동,N,해당없음,해당없음,해당없음,Y,N,문예회관,없음,2022.11.30,https://ldb-phinf.pstatic.net/20150901_230/1441042877852O6xER_JPEG/96872517439514_0.jpg,https://map.naver.com/p/entry/place/12955259
강릉대관령전망대,반려동물업,반려동반여행,여행지,강원도,강릉시,성산면,보광리,151 번지,영동고속도로,232 번,37.75734947,128.806638,25442,강원도 강릉시 성산면 영동고속도로 232,강원도 강릉시 성산면 보광리 151,,정보없음,연중무휴,매일 00:00~24:00,Y,없음,Y,해당없음,모두 가능,목줄,N,Y,관광지,없음,2022.11.30,,https://map.naver.com/p/entry/place/872503823
강릉선교장박물관,반려동물업,반려동반여행,박물관,강원도,강릉시,운정동,,431 번지,운정길,63 번,37.7872994,128.884542,25464,강원도 강릉시 운정길 63,강원도 강릉시 운정동 431,033-648-5303,https://knsgj.net,매주 월요일,화~일 09:00~17:00,Y,5000원,N,해당없음,해당없음,해당없음,Y,N,박물관,없음,2022.11.30,,https://map.naver.com/p/entry/place/15706397
